# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230101
# Data de término: 20231231
Nº dia,Novos usuários
72,0.07914777225941122,0.030144677175556037,0.003584538976462967
73,0.07009751668048482,0.021773461249950648,0.003928303525603064
74,0.05026708124053257,0.013852347923144383,0.0022522522522522522
75,0.035102247371932,0.009063096634692798,0.001380167000207025
76,0.05270390729460704,0.010065369187342148,0.0031198930322388946
77,0.04684372080608568,0.013646069665020686,0.0023021486720939542
78,0.03808334219198469,0.012915913681301159,0.004278728606356968
79,0.0370958751393534,0.010144927536231883,0.0035953177257525082
80,0.041344946940017495,0.009851279905671141,0.002700543912365448
81,0.024169365479189155,0.007886529926832194,0.0014693534844668346
82,0.02090433047959438,0.007896267974399468,0.0015792535948798937
83,0.025982584137444104,0.006636855730760179,0.0020710755471875734
84,0.032393974323303786,0.014428236416391748,0.0028617989586231566
85,0.025216222533894342,0.009671575502571295,0.0027466105656848996
86,0.028953336872074506,0.013318534961154272,0.003812189354823143
87,0.03364363047657594,0.01178791864818375,0.0036932105635940505
88,0.03070588818889826,0.009226648147229526,0.0027283099360087305
89,0.018644659855034496,0.006898960789450703,0.0022705440572875733
90,0.02232713135240211,0.0068869758400444325,0.0019439044709802832
91,0.02120589882396864,0.007765540414411051,0.0018667164457718873
92,0.02489473522451363,0.009005132618249992,0.00285828441466638
93,0.020097514567725055,0.008966583422523487,0.0025686764181234393
94,0.01384062312762133,0.006870381465947673,0.0019572598362292792
95,0.011891417710414737,0.004508016959890833,0.001120912325162045
96,0.020156886108628737,0.0082414854532817,0.002680965147453083
97,0.03695773598957364,0.011264196611431763,0.003537516291193446
98,0.021629599470710976,0.006056287851799074,0.0019339406585576874
99,0.028599732954300728,0.009475815135461085,0.0033165352974113796
100,0.025237289382679714,0.00941799720403208,0.002575233610477522
101,0.022278606349402808,0.008602017451574974,0.0029395383377684263
102,0.0206580501951237,0.007017292613941499,0.002792596040242025
103,0.016954058636232065,0.006326758466691477,0.0019021626762601828
104,0.018744906275468622,0.006469030154849226,0.0037184189079054603
105,0.020653245924464814,0.008992284040146197,0.0035388988803156003
106,0.038178608209504195,0.017213476533764895,0.006694129763130793
107,0.03585123866333922,0.01302574715442206,0.005417249984783006
108,0.029096405460299467,0.011430730716546218,0.0049596145670965
109,0.027921470863197257,0.013960735431598629,0.0039887815518853224
110,0.017130734553168922,0.006841686555290374,0.003023070803500398
111,0.022170680128248858,0.007231052595675012,0.003206221433931373
112,0.020375919368019614,0.007137019885589757,0.0026695723236175428
113,0.01871602150857075,0.0043373637146846495,0.003594664448471525
114,0.021189961774970914,0.008725278377929201,0.00378095396376932
115,0.02139592854175322,0.007685916078105526,0.0029081844619858743
116,0.03263854218671992,0.010983524712930605,0.0027458811782326512
117,0.018468603374263752,0.008136168513527005,0.002296096635719277
118,0.033363756211337595,0.01206774160835615,0.004969070074029003
119,0.018669722580337104,0.006923554409587929,0.002339683903929714
120,0.018307647001079806,0.007411406694807107,0.0022577795229213704
121,0.0225264631265856,0.009491733006736069,0.0035867378182136297
122,0.022090813093980994,0.009081309398099261,0.0038859556494192185
123,0.025611012267066205,0.0113306489371664,0.0026219683490963574
124,0.01617490223960185,0.009731603270529684,0.0020885175968716673
125,0.018570536828963796,0.00749063670411985,0.0032771535580524347
126,0.025277671390271927,0.00912804800204264,0.0030001276650070217
127,0.024760520013684572,0.00949367088607595,0.003891549777625727
128,0.023343373493975902,0.008408634538152611,0.0023008701472556894
129,0.023696066539594524,0.008750649800727777,0.0032490036388840757
130,0.02507185496351979,0.009108998452354631,0.002210921954455008
131,0.014435772548559357,0.009066369344522035,0.002053870078047063
132,0.017409007811201596,0.006647831145088915,0.0021605451221538975
133,0.02258024384175168,0.009330679273451107,0.003670067180890769
134,0.023996229163988515,0.00754167202296782,0.0038565368299267257
135,0.0243665898896836,0.008445468137552026,0.004121711722633046
136,0.030899738983571318,0.010517426685091355,0.00391524643021649
137,0.0291180086047941,0.012177320221266134,0.0020743700061462817
138,0.018186456738829362,0.007325606822654713,0.0018222902543917196
139,0.020828692359100023,0.007629761639563377,0.0027288928491869015
140,0.03128185025480204,0.014347314778518229,0.004390435123480988
141,0.037295528898582335,0.01519447473645947,0.004362050163576881
142,0.03503928647271183,0.00950307921002336,0.004034826927160756
143,0.027561546737548258,0.007151446111005632,0.0023416239478514017
144,0.017971846385130517,0.007038403717370507,0.0017083504168375018
145,0.017838354854136776,0.007890961262553802,0.002152080344332855
146,0.018603411513859275,0.007249466950959489,0.002398720682302772
147,0.016957271507951715,0.005796129526729259,0.001820272082774478
148,0.022862021533937297,0.008632547550158895,0.0035573684959446
149,0.0246625005962887,0.010256165625149073,0.0035777321948194437
150,0.026366902981450908,0.009177430319510536,0.002719238613188307
151,0.023276817603349893,0.007143150375631183,0.0030378915390615376
152,0.01984834968777877,0.008296164139161464,0.001694915254237288
153,0.036218724778046815,0.01735270379338176,0.0049435028248587575
154,0.0416156670746634,0.014465338822743963,0.004450873483921219
155,0.028343235609233467,0.010226940683744034,0.004529073731372358
156,0.022671412831595898,0.008771929824561403,0.003517247224341046
157,0.020956151297388013,0.008520160075734756,0.0029691466930590817
158,0.028397706073378014,0.010018655427347475,0.003109237891245768
159,0.03461210571184996,0.014236999147485082,0.00392156862745098
160,0.022170747849106553,0.0066181336863004635,0.0033090668431502318
161,0.021879164815637495,0.00866281652598845,0.0033873833851621503
162,0.024828727757598052,0.008460159087774151,0.0038162674145937746
163,0.03983449049722982,0.015078196226944385,0.0071533768146433835
164,0.03990753960160446,0.013121218301720035,0.005234890203276906
165,0.027233330050231458,0.010194031320791884,0.00241307987786861
166,0.020823423709106285,0.009407536599545479,0.0034353363987104277
167,0.042659835152595235,0.016261973713521942,0.005235018935174872
168,0.03186735653809972,0.012229539040451553,0.005879586077140169
169,0.04223896027174716,0.014251956874907695,0.006276768571850539
170,0.03174412312872001,0.012445139181145915,0.006553237539830457
171,0.02292987321711569,0.009409667194928684,0.0027238510301109352
172,0.020876128600773897,0.009840921033774423,0.001815315530502078
173,0.02097360424238813,0.009831376988619436,0.002442948221414527
174,0.032667140103479764,0.01602921781475094,0.004768185046160089
175,0.02311654861558274,0.010753380553766902,0.00334835801674179
176,0.029969549655430312,0.008921416742347348,0.0035258293712270954
177,0.03455312202421439,0.013263501564413005,0.006189634063392736
178,0.031647871953437615,0.013883836546623014,0.00569904207590639
179,0.03123073762071091,0.01260187658379563,0.0029450037668652834
180,0.03321962313190383,0.013888888888888888,0.003167641325536062
181,0.0410152066823731,0.014457057185692868,0.006104090811736989
182,0.01954832442933463,0.008013598834385623,0.002549781447304517
183,0.03422251138581653,0.013207547169811321,0.005595315549772283
184,0.02588968361929001,0.008907806397823511,0.0026328491816227126
185,0.024579864928537774,0.008913145908591174,0.0030626668760797863
186,0.021539974080529115,0.008982437324038075,0.0024131921169057513
187,0.019812852095865557,0.009643846080397213,0.0024348324262389
188,0.022131559827865646,0.007209523277259263,0.002738501089811658
189,0.01831680967412084,0.006979949317565464,0.00306762103765616
190,0.025545709963259132,0.00946617678841582,0.003674086881348606
191,0.023691627942408776,0.009941342271653842,0.00297097585129885
192,0.03099730458221024,0.0122911051212938,0.005175202156334231
193,0.03287291151456662,0.013390433681162916,0.0038603052053803005
194,0.021686848656174845,0.0086916163874942,0.0025737310661997385
195,0.02328492739108663,0.007198297446169254,0.0035052578868302454
196,0.03496163931242109,0.015441390696319316,0.005826939885403516
197,0.02913762360188037,0.007740314475603825,0.0038093694277840815
198,0.03299108564151544,0.010187838268067495,0.004974530404329831
199,0.028605200945626477,0.012151300236406619,0.004633569739952719
200,0.01928009929664874,0.009805544062887878,0.002068680182043856
201,0.018027260735746738,0.008207533343104206,0.0017587571449509014
202,0.021605470321208988,0.006205826581623858,0.003275297362523703
203,0.019715394566623544,0.007658473479948254,0.0039327296248382925
204,0.020368711396105427,0.007826865953133104,0.0033004856428874535
205,0.027020018670262422,0.008246032569235557,0.004148947204646821
206,0.025232584524619923,0.008304969366916269,0.0034490583163149535
207,0.025842424242424243,0.0075151515151515155,0.0024727272727272727
208,0.014852220406950839,0.00779741571364919,0.0021164414079904944
209,0.018565486456325456,0.006188495485441818,0.0017753880491021608
210,0.020442571127502633,0.01101159114857745,0.0038461538461538464
211,0.020029201452585077,0.00782449178241174,0.003706338212721351
212,0.024733992906477507,0.013160350942691804,0.004713459025574016
213,0.02166465621230398,0.010422195416164053,0.003715319662243667
214,0.01960691675328357,0.007228574128319002,0.0019370688840593404
215,0.017210401891252954,0.007801418439716312,0.0025059101654846335
216,0.01796790390863444,0.005759574677562273,0.002067539627842867
217,0.018098521273700444,0.007620430009979135,0.0022226254195772477
218,0.025734902072299434,0.010663633455372693,0.003056908257206839
219,0.020890373453071952,0.007009089913481546,0.002655787975030117
220,0.025136045607670382,0.008773553474253137,0.002961537037722578
221,0.02961146737080347,0.012888218282409153,0.003206337231233497
222,0.027139874739039668,0.013266886659034279,0.003569263923496532
223,0.02658320461751077,0.0130883667994472,0.004958946427119746
224,0.036535859269282815,0.013739981263661914,0.005516810658894556
225,0.030914764969767895,0.01331187829139848,0.004632338599570899
226,0.027216494845360824,0.015257731958762887,0.0047422680412371136
227,0.03707130112998084,0.016784510672041234,0.005418621555540871
228,0.0372937293729373,0.013597359735973598,0.004224422442244224
229,0.03270993766043271,0.014374770810414375,0.003447011367803447
230,0.022357492319945386,0.007850722494026624,0.0033564683126635565
231,0.0181137298001384,0.007733952049497293,0.0015874954206862866
232,0.024585546434894575,0.008450024142926123,0.0034604860775792694
233,0.027141552511415524,0.010228310502283105,0.004748858447488584
234,0.025883081208650908,0.011181181568460557,0.005416489341122761
235,0.02340397292394815,0.011768349334159182,0.005795690837499447
236,0.016166978343487966,0.006002292332750196,0.0024733063883694275
237,0.022811788866070933,0.009213520563911861,0.0027751567963589944
238,0.020382289838111956,0.007314218841427736,0.004632338599570899
239,0.025576665079845934,0.008352447310338858,0.004457523694118665
240,0.02670514406119738,0.008840639457651962,0.004030965141312812
241,0.029216162913360547,0.008301609870201348,0.00495344677337981
242,0.03184146069917613,0.011801380538855488,0.003451347138721888
243,0.01842241826673586,0.006832727901747103,0.0027676872513405985
244,0.021286635558118806,0.008283961621139832,0.0028312273895034867
245,0.01807610385124633,0.00955615681307927,0.003511599792758045
246,0.023957409050576754,0.010282373819092855,0.0048541155592671855
247,0.022561863173216887,0.009846733453206611,0.003467762650911893
248,0.022727272727272728,0.007591377694470478,0.0031865042174320526
249,0.02281656089453007,0.009217286189181021,0.003626473254759746
250,0.02048388736403375,0.008335874758564604,0.0022872827081427266
251,0.021573108868944757,0.00869613690841184,0.0022855231618261885
252,0.017013993758179805,0.005486761300714789,0.0030705728380146986
253,0.048004060766469674,0.009934375113302635,0.00362568434792067
254,0.02123491120520761,0.00916387537129495,0.0028755608923718636
255,0.02386191384284387,0.01168647009926165,0.0038139944257004547
256,0.0224639493206635,0.009085604734516962,0.002625656414103526
257,0.021849051352228973,0.01090133135408452,0.002087488982697036
258,0.02122716231914669,0.012936952159678952,0.0010032738409546942
259,0.02586206896551724,0.009404388714733543,0.00028498147620404675
260,0.025468742906433015,0.008716575112362101,0.00022699414355109639
261,0.023212783851976452,0.01063919259882254,0.0002943650126156434
262,0.020831644646186268,0.009118910594147685,0.00016211396611818109
263,0.02535211267605634,0.010751173708920187,0
264,0.02782981000802783,0.008830612791008831,0.000038227761000038225
265,0.020469943779731874,0.009370044687905435,0
266,0.021356083416973346,0.0078064012490242,0.00016728002676480428
267,0.02941687416758353,0.00967050784643002,0.00011581446522670682
268,0.025106218617226728,0.007896656795845673,0.00025749967812540236
269,0.02082547663943013,0.00842237586423633,0.00008380473496752567
270,0.023717003885836793,0.010183572289963822,0
271,0.017815646785437646,0.007875032274722438,0.00008606592649969878
272,0.02355147978324302,0.007919966652771988,0.00013894678338196472
273,0.020379281064251343,0.008547976224172091,0.00005660911406736485
274,0.020188941639092697,0.008679806262887835,0.0001918189229367477
275,0.018130413319570972,0.00834717048871337,0.00008975452138401472
276,0.019400938889119687,0.006896265215404428,0
277,0.02993616552938587,0.010510675764913054,0.0001650891481399956
278,0.019096750837179835,0.008960086885691013,0.00009050592813829306
279,0.022617701327301946,0.00970180346407952,0.0001190405333015892
280,0.02152062650305235,0.00912622556576432,0.00012332737251032866
281,0.022453953414039714,0.0025170801869830997,0.00023972192256981902
282,0.0070511024127426075,0.00006327912421692084,0.000018079749776263097
283,0.011924286568776893,0.00007717984834159801,0
284,0.012936186168592252,0.00014061071922382882,0
285,0.012887414700103522,0.00025352291213318404,0.00006338072803329601
286,0.014531674275654223,0.00011935666756184168,0.00002983916689046042
287,0.007756948933419522,0.0004155508357189029,0.00036937852063902485
288,0.0728516460025652,0.06425823001282599,0.047199657973492945
289,0.11490217998882057,0.11512576858580212,0.08257126886528787
290,0.09191517200021806,0.10001090334187429,0.059750313471078884
291,0.06153939614847215,0.06567037239535872,0.02663872182734949
292,0.050152758230064196,0.049603515155676084,0.018502626068449417
293,0.04038253058695989,0.03906612978163234,0.01746166950596252
294,0.033741908827985126,0.022540513244273058,0.01845475829775513
295,0.03731627893331769,0.01818875231026491,0.016193856895590695
296,0.03489965220795254,0.021876270344329183,0.010192866499043949
297,0.02067721343325007,0.016782889258950873,0.005533583125173467
298,0.028619199617831628,0.014309599808915814,0.008359933120535035
299,0.02092479251449995,0.013778959848751883,0.006120421700259557
300,0.023403374867810016,0.010713136236148788,0.009977470228516253
301,0.01888935633151031,0.009591922591501894,0.012957509465713083
302,0.025110493996166935,0.011068956076191966,0.009308874721320453
303,0.02966547443719756,0.011721919990382015,0.011210964503621773
304,0.013471920884000201,0.008880367324284778,0.005583867332694216
305,0.01454228168399622,0.006859109527618217,0.004702004411158777
306,0.01521745746720638,0.010165261588093862,0.003773929451867182
307,0.024512924996816503,0.013689036037183243,0.007704062141856615
308,0.02105825127535888,0.011329932376319848,0.007652153280341678
