# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
ID do país,Usuários
Biritiba Mirim,67
Busan,67
Capanema,67
Fort Worth,67
Getulio Vargas,67
Monte Alegre,67
Quadra,67
San Jose,67
Tres Passos,67
62264,66
Altonia,66
Canarana,66
Mandaguacu,66
Miracema,66
Muzambinho,66
Parintins,66
Prudentopolis,66
Telemaco Borba,66
Tres de Maio,66
Bom Jesus dos Perdoes,65
Coimbra,65
Sarzedo,65
Moses Lake,64
Palmeira das Missoes,64
Portao,64
Santo Amaro da Imperatriz,64
Teutonia,64
54970,63
Candelaria,63
Duartina,63
Estrela,63
Guaramirim,63
Hialeah Gardens,63
Palotina,63
Santa Rita do Passa Quatro,63
Sombrio,63
Bergen Municipality,62
Holambra,62
Pirai,62
Setubal,62
Vargem Grande Paulista,62
Incheon,61
New Delhi,61
Turvo,61
Xaxim,61
91477,60
Aracariguama,60
Campo Novo do Parecis,60
Conchal,60
Orlandia,60
Sao Jose do Vale do Rio Preto,60
Barra Velha,59
Pirapozinho,59
Realeza,59
Turin,59
Vienna,59
Alicante,58
Laranjeiras do Sul,58
Rancharia,58
Sydney,58
62153,57
Agra,57
Borda da Mata,57
Cajati,57
Carlos Barbosa,57
Espirito Santo do Pinhal,57
Jandaia do Sul,57
Camanducaia,56
Casa Branca,56
Vassouras,56
Xinguara,56
Cananeia,55
Houston,55
Samsun,55
Sananduva,55
Sapucaia,55
Taquarituba,55
Alexania,54
Almada,54
Butia,54
Ivoti,54
Promissao,54
Sao Manuel,53
Sao Sebastiao do Passe,53
Descalvado,52
Guapore,52
Igarapava,52
Lapa,52
Loanda,52
46273,51
Cassia,51
Daegu,51
Nao-Me-Toque,51
Santa Adelia,51
Tapejara,51
Geneva,50
Itaitinga,50
Mendes,50
Pires do Rio,50
Pitanga,50
Tanabi,50
Apiai,49
Assai,49
Bengaluru,49
Guariba,49
Mirandopolis,49
Praia,49
Rotterdam,49
Santa Vitoria do Palmar,49
Ceu Azul,48
Hyderabad,48
Jardim,48
Marau,48
Palmitos,48
Sao Domingos de Rana,48
Uniao da Vitoria,48
Zaragoza,48
Cape Town,47
Capela do Alto,47
Colider,47
Everett,47
Flores da Cunha,47
Jardinopolis,47
Santa Cruz de la Sierra,47
Sao Marcos,47
Stockholm,47
Batatais,46
Cacapava do Sul,46
Groningen,46
Coromandel,45
Pinhalzinho,45
Pontal,45
Faxinal,44
Florence,44
Guararapes,44
Guimaraes,44
Itaqui,44
Monte Siao,44
Osaka,44
Ribeirao do Pinhal,44
Rio Pardo,44
Siqueira Campos,44
Vargem Grande do Sul,44
Bandeirantes,43
Columbus,43
Nepomuceno,43
Bologna,42
Cordoba,42
Cunha,42
Malaga,42
Arroio dos Ratos,41
Brisbane,41
Capinzal,41
Cerro Largo,41
Coronel Vivida,41
Eindhoven,41
Itaparica,41
Konya,41
Sao Miguel Arcanjo,41
Tangua,41
Vancouver,41
Athens,40
Bela Vista do Paraiso,40
Dom Pedrito,40
Fraiburgo,40
Santa Helena de Goias,40
72170,39
Anicuns,39
Itai,39
Munich,39
Palmeira,39
Quatro Barras,39
Santo Antonio de Posse,39
Sao Sebastiao do Cai,39
Vazante,39
Alverca do Ribatejo,38
Iturama,38
Palmital,38
Pereira Barreto,38
Povoa de Varzim,38
Sao Joaquim de Bicas,38
Sao Lourenco do Oeste,38
Simao Dias,38
Ibate,37
Santa Cruz das Palmeiras,37
Santa Terezinha de Itaipu,37
Santo Anastacio,37
Terra Rica,37
Viseu,37
Wellington,37

#  
# Data de início: 20240101
# Data de término: 20240220
Gênero,Usuários
male,115045
female,114788

#  
# Data de início: 20240101
# Data de término: 20240220
Interesses,Usuários
News & Politics/Avid News Readers/Entertainment News Enthusiasts,132226
Sports & Fitness/Sports Fans/Soccer Fans,114539
Media & Entertainment/Movie Lovers,105522
News & Politics/Avid News Readers/Avid Local News Readers,102962
Media & Entertainment/Light TV Viewers,98723
Travel/Travel Buffs,91015
Media & Entertainment/Music Lovers/World Music Fans,84729
Media & Entertainment/TV Lovers/TV Drama Fans,79437
Media & Entertainment/TV Lovers,74863
News & Politics/Avid News Readers/Avid Political News Readers,74662
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,71769
Media & Entertainment/Music Lovers,70342
Technology/Technophiles,69873
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",69568
Media & Entertainment/Music Lovers/Fans of Latin Music,68250
Shoppers/Shopping Enthusiasts,67672
Banking & Finance/Avid Investors,67219
Lifestyles & Hobbies/Business Professionals,62067
Vehicles & Transportation/Auto Enthusiasts,60543
Technology/Mobile Enthusiasts,58143
Travel/Travel Buffs/Beachbound Travelers,56286
Lifestyles & Hobbies/Green Living Enthusiasts,50801
Home & Garden/Home Decor Enthusiasts,49429
News & Politics/Avid News Readers/Avid Business News Readers,47657
Sports & Fitness/Sports Fans,45235
Lifestyles & Hobbies/Shutterbugs,43944
Lifestyles & Hobbies/Frequently Attends Live Events,43890
Lifestyles & Hobbies/Pet Lovers,43328
News & Politics/Avid News Readers,42262
Technology/Social Media Enthusiasts,42262
Beauty & Wellness/Beauty Mavens,39418
Sports & Fitness/Health & Fitness Buffs,37494
Lifestyles & Hobbies/Family-Focused,37286
Food & Dining/Foodies,36586
Media & Entertainment/Book Lovers,35773
Food & Dining/Cooking Enthusiasts,34434
Media & Entertainment/Gamers,32938
Media & Entertainment/Gamers/Casual & Social Gamers,32756
Media & Entertainment/Gamers/Hardcore Gamers,31218
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,30326
Lifestyles & Hobbies/Outdoor Enthusiasts,29166
Lifestyles & Hobbies/Pet Lovers/Dog Lovers,27680
Lifestyles & Hobbies/Nightlife Enthusiasts,26835
Media & Entertainment/Comics & Animation Fans,25277
Beauty & Wellness/Frequently Visits Salons,24954
Shoppers/Bargain Hunters,24605
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,23385
Lifestyles & Hobbies/Fashionistas,22127
Media & Entertainment/Music Lovers/Pop Music Fans,21302
Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,21050
Home & Garden/Do-It-Yourselfers,20557
Travel/Travel Buffs/Luxury Travelers,20327
Media & Entertainment/Music Lovers/Rock Music Fans,20055
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,18197
Shoppers/Luxury Shoppers,17875
Media & Entertainment/Music Lovers/Country Music Fans,16681
Travel/Business Travelers,16169
Lifestyles & Hobbies/Thrill Seekers,16112
Lifestyles & Hobbies/Art & Theater Aficionados,15846
Shoppers/Shoppers by Store Type/Department Store Shoppers,15516
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,14634
Media & Entertainment/Gamers/Action Game Fans,13950
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,13887
Shoppers/Shoppers by Store Type,13532
Travel/Travel Buffs/Family Vacationers,13465
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,12293
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12134
Beauty & Wellness,11872
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,11832
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,11583
Media & Entertainment/Gamers/Roleplaying Game Fans,10816
Food & Dining/Frequently Dines Out/Diners by Meal,9697
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,9037
Media & Entertainment/TV Lovers/TV Comedy Fans,8802
Sports & Fitness/Sports Fans/Tennis Enthusiasts,8787
Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,8619
Lifestyles & Hobbies/Pet Lovers/Cat Lovers,8175
Media & Entertainment/Gamers/Shooter Game Fans,7879
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,7564
Media & Entertainment/Movie Lovers/Comedy Movie Fans,7017
Media & Entertainment/Music Lovers/Metalheads,6484
Media & Entertainment/Movie Lovers/Family Movie Fans,6370
Travel,5597
Travel/Travel Buffs/Snowbound Travelers,5543
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,5523
Sports & Fitness/Sports Fans/Water Sports Enthusiasts,5443
Shoppers/Value Shoppers,5179
Media & Entertainment/Movie Lovers/Horror Movie Fans,4996
Sports & Fitness/Sports Fans/Boating & Sailing Enthusiasts,4829
Home & Garden,4789
Sports & Fitness/Sports Fans/Swimming Enthusiasts,4534
Sports & Fitness/Sports Fans/Basketball Fans,4438
News & Politics/Avid News Readers/Avid World News Readers,4389
Media & Entertainment/TV Lovers/Family Television Fans,3962
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,3831
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,3671
Food & Dining/Fast Food Cravers,3606
Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,3572
News & Politics/Avid News Readers/Women's Media Fans,3333
Sports & Fitness/Sports Fans/Fans of American Football,3310
Sports & Fitness/Sports Fans/Fight & Wrestling Fans,3296
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,3066
Shoppers/Shoppers by Store Type/Superstore Shoppers,3024
Media & Entertainment/Gamers/Driving & Racing Game Fans,2802
Media & Entertainment/Gamers/Sports Game Fans,2764
