Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7070d200a110927:0x51f45fae994f83b3,Garanhuns,BR,BR-PE,34,0.4694,0:00:49
0x7aa24fd35ab44f5:0xd902825d05a2cec9,Bezerros,BR,BR-PE,34,0.3534,0:00:37
0x9359823fe2633e47:0x6705012ead5650af,Novo Gama,BR,BR-DF,34,0.3556,0:00:37
0x95190ce6fc96447f:0x1fa4b4a901f40597,Gravataí,BR,BR-RS,34,0.3662,0:00:38
0xb95d3d7ef7ecb9:0xa68aadb2a822a95,Cachoeiro de Itapemirim,BR,BR-ES,34,0.1783,0:00:18
0x7aaf07ec0088f1f:0x79afc0089b9afbdc,Cabo de Santo Agostinho,BR,BR-PE,33,0.4245,0:00:46
0x94c8cdaee7763fcf:0x382e43ff2cf3dd00,Valinhos,BR,BR-SP,33,0.2669,0:00:29
0x94dcf649d28f7973:0xf51762bd3bc2d656,São José dos Pinhais,BR,BR-PR,33,0.223,0:00:24
0x95119baebc1a1471:0x7be08e7dc9440b88,Rio Grande,BR,BR-RS,33,0.2844,0:00:31
0xa65aa48d5ab029:0x3158b7984cbbf15f,Sete Lagoas,BR,BR-MG,33,0.4404,0:00:48
0x92af144e30cc4951:0x39dd24007e864a15,Capanema,BR,BR-PA,32,0.3618,0:00:40
0x94cbc760a7bfd6cf:0x4c8a471861feb268,Pouso Alegre,BR,BR-MG,32,0.4561,0:00:51
0x94e4b5c94098efa5:0x6b810ae0d4ebfb6a,Chapecó,BR,BR-SC,32,0.3357,0:00:37
0x951998a6d8f26441:0x15f42daa82b66d40,Viamão,BR,BR-RS,32,0.3471,0:00:39
0x9630267844443b:0x9840d1e83fd0de59,Macaé,BR,BR-RJ,32,0.343,0:00:38
0x7f695d40a5ce66d:0x4a173edc2236853a,Paço do Lumiar,BR,BR-MA,31,0.4736,0:00:54
0x94de94ec45c735ad:0xd528660baaf1e754,Jaraguá do Sul,BR,BR-SC,31,0.4707,0:00:54
0x739ab1ec404e2fb:0xc99a7293581f2b67,Itabuna,BR,BR-BA,30,0.318,0:00:38
0x78e92368fcb0553:0xe21e8f9dcdce2bbf,Caxias,BR,BR-MA,30,0.4076,0:00:48
0x7ec3adcd5926c75:0x45351f9daa75bb92,Parnaíba,BR,BR-PI,30,0.2649,0:00:31
0x92a5af3f73727753:0xfbb120300e172d46,Castanhal,BR,BR-PA,30,0.4025,0:00:48
