Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x93a77fe80bc27573:0x1207800617733e83,Sinop,BR,BR-MT,28,"0,975",0:02:05
0x94bad03162627637:0x8e83d9edb0f8e15c,Uberaba,BR,BR-MG,28,"1,0297",0:02:12
0x94d8cc949bf3cf61:0xef02eadd26842207,Itajaí,BR,BR-SC,28,"3,8669",0:08:17
0x95199cd2566acb1d:0x603111a89f87e91f,Porto Alegre,BR,BR-RS,28,"2,5461",0:05:27
0x71022e52d4fb431:0x185505e7c0b715b0,Lagarto,BR,BR-SE,27,"0,6594",0:01:27
0x7139d031dc6e463:0x1987d6ddd53964b2,Conceição do Coité,BR,BR-BA,27,"0,8564",0:01:54
0x94ce445de3962263:0x9ca2ba904b9421db,Diadema,BR,BR-SP,27,"0,5064",0:01:07
0x94e81ac65f102321:0xacb0f4e64629b2f1,Ponta Grossa,BR,BR-PR,27,"1,5183",0:03:22
0x976960700fa6fb:0xdecb667ffd84cc3c,Araruama,BR,BR-RJ,27,"1,9624",0:04:21
0x71669db54e018a1:0xda0908d77a4e28ad,Camaçari,BR,BR-BA,26,"0,2421",0:00:33
0x78bf16cf1e200a1:0x41ecdc5fb99aae3,Codó,BR,BR-MA,26,"0,438",0:01:00
0x796f04deb335aa7:0x1db43189e3269198,Crateús,BR,BR-CE,26,"1,0301",0:02:22
0x7aa54a93d22ad87:0x813856d6816ceb4b,Vitória de Santo Antão,BR,BR-PE,26,"2,3325",0:05:22
0x7bf3b38243d50fb:0xcb67deed7d3b7fe3,Baturité,BR,BR-CE,26,"0,4183",0:00:57
0x92d5ef9625fb9fa5:0x697ed5cde68bbfe7,Balsas,BR,BR-MA,26,"1,2399",0:02:51
0x92dd786db739cde1:0x909fe5333ab9ac5c,Canaã dos Carajás,BR,BR-PA,26,"0,3036",0:00:42
0x93599a4e0df6e405:0xc8141f04d788aa0d,Luziânia,BR,BR-GO,26,"1,0187",0:02:21
0x9361db7d2c321dc1:0xe7ac78da77d5dc69,Rio Verde,BR,BR-GO,26,"0,6852",0:01:34
0x70153979e5e3b9d:0x2093f0c10c197fd8,Marechal Deodoro,BR,BR-AL,25,"0,3164",0:00:45
0x74845ab9e670e47:0x92071f0f3fe4bc18,Macarani,BR,BR-BA,25,"1,0496",0:02:31
0x7a4ae2fdc5318ad:0x1a2e86a420ca538e,São Miguel,BR,BR-RN,25,"0,3636",0:00:52
0x7ad05dea9606561:0x71f5689b8df6bb5d,Mamanguape,BR,BR-PB,25,"0,8648",0:02:04
0x7c10891d45d7179:0x30b8334bd09eff0c,Trairi,BR,BR-CE,25,"2,2026",0:05:17
0x92cca8698ee802cd:0x2bba199c20754c93,Lago da Pedra,BR,BR-MA,25,"1,3931",0:03:20
0x92e0080191b1e839:0x3d8f8a041b3c10dd,Redenção,BR,BR-PA,25,"1,4013",0:03:21
0x9359847212701563:0x4215e06987627415,Valparaíso de Goiás,BR,BR-GO,25,"0,8117",0:01:56
0x995bc00409097f:0x9428aac8dc6e3a3e,Queimados,BR,BR-RJ,25,"2,385",0:05:43
0x73546a9c0f417ef:0x998e8c1f371f1c5b,Teixeira de Freitas,BR,BR-BA,24,"0,4544",0:01:08
0x7366c2f220a58f5:0x4aa5d564de993100,Eunápolis,BR,BR-BA,24,"0,2969",0:00:44
0x7480b8d3c953517:0x895343b02eca8403,Itapetinga,BR,BR-BA,24,"0,1901",0:00:28
0x92b75df7009952e7:0xf394b4955cec07d0,Paragominas,BR,BR-PA,24,"1,9172",0:04:47
0x94c5f54bcad87989:0x4a9099fb9d10cb8e,Sorocaba,BR,BR-SP,24,"0,4211",0:01:03
0x94ce69549e48e43f:0xe210627a68fc88df,Mauá,BR,BR-SP,24,"1,3166",0:03:17
0x94ceac314b202477:0x7445e7bbfc69c8b0,Extrema,BR,BR-MG,24,"1,0186",0:02:32
0x789a923ae8f989d:0xd42e226e2a6641fe,Dom Pedro,BR,BR-MA,23,"0,4389",0:01:08
0x7b8a9d2f86bafdb:0x4d31932c8e268df1,Itaitinga,BR,BR-CE,23,"0,9004",0:02:20
0x7c06bc942f44d73:0x6d91fda9f7bab781,Itapajé,BR,BR-CE,23,"0,5374",0:01:24
0x9379c8415a99e261:0x68c26f5b554d755c,Rondonópolis,BR,BR-MT,23,"1,8212",0:04:45
0x939dadb18cb64935:0xfbb74bb1fac6cf4c,Várzea Grande,BR,BR-MT,23,"2,1576",0:05:37
0x94b9bf1d68acc21d:0x37b8ee0abedeea39,Ribeirão Preto,BR,BR-SP,23,"0,2119",0:00:33
0x9eb740a08726b5:0xd6e08453452807f6,Barra do Piraí,BR,BR-RJ,23,"0,6877",0:01:47
0xb9372b49d0fda1:0x68d48f4b3397bf08,Marataízes,BR,BR-ES,23,"1,0022",0:02:36
0xbcc64152334a17:0x59481656f33750cc,Muriaé,BR,BR-MG,23,"0,4896",0:01:16
0x70454eca8632865:0x30fd297430f81b1d,Penedo,BR,BR-AL,22,"0,3387",0:00:55
0x7163e1a53f73969:0xdd9b017baf4d24c2,Lauro de Freitas,BR,BR-BA,22,"1,2889",0:03:30
0x76cb4ec2c86ec03:0xfda29dfa69bda89d,Capim Grosso,BR,BR-BA,22,"1,0343",0:02:49
0x7a09188becb5d29:0x65c67ed66be67bf3,Salgueiro,BR,BR-PE,22,"0,1319",0:00:21
0x7ace600cb7d7b55:0xee555f0bba66d760,Santa Rita,BR,BR-PB,22,"0,3037",0:00:49
