# ----------------------------------------,,,,,,,,,
# https://tribunadonorte.com.br – GA4,,,,,,,,,
# visualizações por faixa etária-vizualizações por faixa etária,,,,,,,,,
# 20240101-20240131,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Idade,unknown,25-34,35-44,45-54,55-64,65+,18-24,Totais,
Título da página,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,
ABZ Tribuna do Norte lista 3 movimentos em torno do CARNAVAL - Augusto Bezerril,51,0,0,0,0,0,0,51,
ABZ Tribuna do Norte lista 3 movimentos em torno do CARNAVAL - Tribuna do Norte,89,0,0,0,0,0,0,89,
ABZ Tribuna do Norte segue Festa do Gelo e hits do verão em JAMPA - Tribuna do Norte,260,38,31,25,10,0,0,364,
AGU é contra pena menor para militares acusados de estupro; entenda - Tribuna do Norte,41,0,0,0,0,0,0,41,
ALRN retoma trabalhos com leitura anual da mensagem da Governadora na próxima segunda-feira - Tribuna do Norte,88,10,0,0,0,0,0,98,
ANP encontra irregularidade em posto de combustíveis no RN - Tribuna do Norte,29,0,0,0,0,0,0,29,
ANP: Preços dos combustíveis ficam perto da estabilidade na 3ª semana de janeiro - Tribuna do Norte,30,0,0,0,0,0,0,30,
AO VIVO: ato do Congresso para marcar um ano do 8 de Janeiro; assista - Tribuna do Norte,68,0,0,0,0,0,0,68,
"Abandonado pelo poder público, Vale das Cascatas atrai natalenses - Tribuna do Norte",12679,736,486,570,446,414,241,15572,
Abandono e solidão - Tribuna do Norte,148,0,0,0,0,0,0,148,
Abastecimento de água é interrompido em bairros de Natal; veja quais - Tribuna do Norte,3764,224,184,201,190,198,115,4876,
Abastecimento é interrompido em cinco bairros de Natal; veja quais - Tribuna do Norte,1366,57,67,71,91,71,22,1745,
Abdon Gosson convida para seus festejos de aniversário - Território Livre,323,0,0,0,0,0,0,323,
Abel Ferreira terá contrato milionário no Palmeiras; confira valores - Tribuna do Norte,936,84,78,41,46,54,14,1253,
"Abertura da exposição ""Verde Mar"" une arte, moda & literatura em noite na Paçoca de Pilão - Território Livre",362,0,0,0,0,0,0,362,
Abin apura por que Ramagem não devolveu aparelhos da agência; saiba - Tribuna do Norte,148,19,0,11,0,0,0,178,
Aborto legal: entenda o que é e como o procedimento é feito no RN - Tribuna do Norte,45,0,0,0,0,0,0,45,
Acesso ao viaduto da Urbana será modificado a partir de segunda-feira (15) - Tribuna do Norte,4093,229,198,186,118,150,89,5063,
Acidentes deixam três pessoas mortas e quatro feridas no interior do RN - Tribuna do Norte,19,0,0,0,0,0,0,19,
Acusado de homicídio é preso em academia na Grande Natal - Tribuna do Norte,21,0,0,0,0,0,0,21,
Acusado de importunação sexual é encontrado morto no RN - Tribuna do Norte,589,52,46,44,36,45,12,824,
Acusado de matar três pessoas em Jardim de Angicos é encontrado morto em matagal - Tribuna do Norte,52,0,0,0,0,0,0,52,
Acusado de praticar onze homicídios é preso no Bom Pastor - Tribuna do Norte,21,0,0,0,0,0,0,21,
"Adamastor, o puro - Tribuna do Norte",321,13,92,31,151,43,0,651,
Adimplemento contratual e o direito de desistência - Tribuna do Norte,38,0,0,0,0,0,0,38,
Adolescente de 13 anos é estuprada - Tribuna do Norte,32,0,0,0,0,0,0,32,
Adolescentes são executados após deboche sobre facção criminosa; vídeo - Tribuna do Norte,19,0,0,0,0,0,0,19,
Adolescentes torturadas e mortas a golpes de facas - Tribuna do Norte,61,0,0,0,0,0,0,61,
Adriana Lima anuncia gravidez do terceiro filho com vídeo no TikTok - Tribuna do Norte,29,0,0,0,0,0,0,29,
"Adutora tem fiação roubada, interrompendo abastecimento em Caicó e São Fernando nesta terça (9) - Tribuna do Norte",117,14,12,0,0,0,0,143,
Advogada e cliente são mortos no interior do Rio Grande do Norte - Tribuna do Norte,21888,1903,1341,1083,1178,906,526,28825,
Advogada e clientes são mortos no interior do Rio Grande do Norte - Tribuna do Norte,154,0,0,15,0,0,0,169,
Advogada é assassinada e OAB cobra apuração - Tribuna do Norte,1564,170,105,96,55,84,47,2121,
Advogado deixa defesa do Crente Trader - Tribuna do Norte,39,0,0,0,0,0,0,39,
