Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x952181e2d391d045:0x5333d655f0ed7675,Criciúma,BR,BR-SC,55,0.396,0:00:25
0xa6c24a5fb01f9b:0xdae51d9facff118f,Betim,BR,BR-MG,54,0.556,0:00:37
0x935ea462bcef4687:0xcffa52b54537af5a,Anápolis,BR,BR-GO,53,0.4822,0:00:32
0x94f3d41ec7f74d61:0xebac32ece05a5fbc,Cascavel,BR,BR-PR,53,0.4525,0:00:30
0x94f690ebae530a43:0x21979473b4c4a952,Foz do Iguaçu,BR,BR-PR,53,0.6269,0:00:42
0xa0a5bc241bce2f:0xf7e939bd5077b17d,Divinópolis,BR,BR-MG,53,0.459,0:00:31
0x94ce1be795087ec7:0xe6e95e9915fa8605,São Vicente,BR,BR-SP,52,0.454,0:00:31
0x94ce445de3962263:0x9ca2ba904b9421db,Diadema,BR,BR-SP,52,0.4857,0:00:33
0x94dcf649d28f7973:0xf51762bd3bc2d656,São José dos Pinhais,BR,BR-PR,52,0.3717,0:00:25
0x933b3439911f1257:0x93b8070d05c818f,Palmas,BR,BR-TO,51,0.6587,0:00:46
0x996f6e2b493369:0xbb7fb4c04edcc270,Belford Roxo,BR,BR-RJ,51,0.6284,0:00:44
0x7163e1a53f73969:0xdd9b017baf4d24c2,Lauro de Freitas,BR,BR-BA,50,0.598,0:00:43
0xa65aa48d5ab029:0x3158b7984cbbf15f,Sete Lagoas,BR,BR-MG,50,0.3944,0:00:28
0xa68d65ce6647bb:0xf6b57930a4c07785,Ribeirão das Neves,BR,BR-MG,50,0.7363,0:00:53
0x7a4ae2fdc5318ad:0x1a2e86a420ca538e,São Miguel,BR,BR-RN,49,0.3798,0:00:27
0x94cd639daab97a29:0x965051c5272e303e,Caraguatatuba,BR,BR-SP,49,0.3978,0:00:29
0x94de94ec45c735ad:0xd528660baaf1e754,Jaraguá do Sul,BR,BR-SC,49,0.4318,0:00:31
0x94c88055b6df0dc3:0x1b0ef5f339809ecd,Limeira,BR,BR-SP,48,0.3646,0:00:27
0x94ce7c8d172d5a85:0x453b3d4d5bc111d7,Itaquaquecetuba,BR,BR-SP,48,0.3637,0:00:27
0x998d9fc58eb9a7:0x853ea58d8bafb4f6,Maricá,BR,BR-RJ,48,0.3246,0:00:24
0xa1f575a56f36c7:0x352b824be8a084e2,Barbacena,BR,BR-MG,48,0.3387,0:00:25
0x7c0b56dfdbff18d:0xa8ded9006dd0d827,Caucaia,BR,BR-CE,47,0.4284,0:00:32
