# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20220101
# Data de término: 20221231
Título da página e nome da tela,Visualizações,Usuários,Visualizações por usuário,Tempo médio de engajamento,Contagem de eventos,Conversões,Receita total
Porto-indústria do RN será construído em Caiçara do Norte - 11/08/2022 - Notícia - Tribuna do Norte,12665,8048,1.573682902584493,118.00136679920477,36921,0,0
Natal ganha novo parque ecológico em Capim Macio - 04/08/2022 - Notícia - Tribuna do Norte,12548,8904,1.4092542677448339,87.78796046720575,33890,0,0
Dois agentes da PRF são mortos a tiros durante abordagem em Fortaleza - 18/05/2022 - Notícia - Tribuna do Norte,12510,10458,1.1962134251290877,40.391279403327594,38169,0,0
Polícia Civil prende homem que matou vizinha no Interior do RN - 02/09/2022 - Notícia - Tribuna do Norte,12492,9468,1.3193916349809887,83.66117448246726,44402,0,0
Pelé visitou praias do RN e decidiu construir um hotel em Ponta Negra - 29/12/2022 - Notícia - Tribuna do Norte,12430,10868,1.1437246963562753,34.23905042326095,55685,0,0
"Após vídeo com bebida alcoólica e cigarro, padre seridoense admite excesso; veja - 06/07/2022 - Notícia - Tribuna do Norte",12292,10167,1.2090095406707977,50.51057342382217,33013,0,0
PM descarta aumentar segurança em local onde votará Wendel Lagartixa - 29/09/2022 - Notícia - Tribuna do Norte,12281,9761,1.2581702694396066,50.3329576887614,54246,0,0
Homem é morto a tiros pelo ex-marido da namorada em Natal - 19/08/2022 - Notícia - Tribuna do Norte,12279,8981,1.3672196860037857,74.73822514196637,32202,0,0
Corpo de músico que se afogou em praia de Natal é encontrado após quatro dias de buscas - 19/07/2022 - Notícia - Tribuna do Norte,12224,10860,1.1255985267034991,34.36777163904236,36723,0,0
Chuvas abrem cratera em Natal e Defesa Civil interdita casas - 02/07/2022 - Notícia - Tribuna do Norte,12165,10148,1.1987583760346867,59.603271580607014,33432,0,0
"RN tem o pior Ensino Médio público do Brasil, aponta Ideb - 17/09/2022 - Notícia - Tribuna do Norte",12162,8612,1.4122155132373433,63.064096609382254,53582,0,0
